1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	0	0	1	1	p	0	0	0	0	0	0	0	0	0	0	0	1
1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	e	1	1	1
1	0	0	0	0	0	0	0	0	0	e	0	0	0	0	1	1	1	1
1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
1	0	0	0	0	0	0	0	0	0	0	0	0	e	0	0	0	0	1
1	0	0	0	0	0	e	0	0	0	0	0	1	1	0	0	0	0	1
1	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
